record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source,like_count,reply_count,engagement_raw,engagement_score,sentiment_weight,wow_factor_score,wow_score_tier
e66f88c1-64fc-4a41-b069-9d16c5ec5783,"i have this exact variant (and color!) and I must say, no regrets and I'm growing to love it even more the more we use i",Honda BRV,Value Perception; Powertrain / Performance; Powertrain / Performance; Comfort & Space; Comfort & Space; Styling / Design; Other; Value Perception; Brand Perception; Other,Resale Value; Engine Power; Energy Consumption; Cabin Space; Ride Quality; Exterior Design; Ownership Experience; Value for Money; Brand Trust; General Impression,Positive,0.91,True,OK,True,"i have this exact variant (and color!) and I must say, no regrets and I'm growing to love it even more the more we use it. I bought itnas a family car and I was willing to pay for the extra over the S variant because I don't really do much customization and prefer to use just the stock with some accessories so the upgrade in details made sense for me. The power and fuel efficiency is amazing. We've driven it in those steep bumpy side roads in tagaytay with full capacity (7 medium to heavy adults) and it was no problem. The size is perfect for both experienced and new drivers. Unpopular but I also love that it still has the traditional hand break over the electronic one. I was ok with not having honda sensing since my brother wasn't keen on using it and I'm a newbie driver so I prefer to get familiar with a more simple set-up. Lastly, it's a honda- reliable and has a high resale value in case you decide to let go of it in the future. The look of the car is also very neat and classy, it won't look dated even after many years. Ofcourse taste is subjective, but this one just ticks all the boxes. I'm no car enthusiast, this is the first car I've purchased and no buyer remorse at all. A very happy amd satisfied owner here!",ok,auto,179,13.0,4.188525606468253,31.88,0.91,61.44,MEDIUM
d5ce64af-9996-4660-9add-5b7edd1a67b4,"I love the back side of the BRV, it looks so clean and simple",Honda BRV,Styling / Design,Exterior Design,Positive,0.95,False,OK,True,"I love the back side of the BRV, it looks so clean and simple",ok,auto,21,0.0,3.091042453358316,23.53,0.95,59.27,MEDIUM
330cc69f-8444-4c07-9921-17564007c5dd,Bought the S then had the leather seats and rear parking sensors installed elsewhere. Didn't cost me 150k definitely.,Honda BRV,Value Perception; Comfort & Space; Safety & ADAS,Price; Seat Comfort; Parking Sensor,Positive,0.833,False,OK,True,Bought the S then had the leather seats and rear parking sensors installed elsewhere. Didn't cost me 150k definitely.,ok,auto,34,6.0,4.160224056978279,31.66,0.833,57.48,MEDIUM
535672c5-eb55-4e45-8675-f4ca6b013cc2,"While some are complaining about the back, the car looks better than the previous model.",Honda BRV,Styling / Design,Exterior Design,Positive,0.9,False,OK,True,"While some are complaining about the back, the car looks better than the previous model.",ok,auto,13,0.0,2.6390573296152584,20.09,0.9,55.05,MEDIUM
9cbce7ca-cd87-41bd-bb5e-b2603e89ee5d,"Went to pick brv V after watching this and happy owning this for more than 6months now. Matipid, sobrang gaan, napaka da",Honda BRV,Value Perception; Powertrain / Performance; Powertrain / Performance; Comfort & Space; Brand Perception,Competitor Comparison; Energy Consumption; Driving Ease; Ride Quality; Brand Trust,Positive,0.88,False,OK,True,"Went to pick brv V after watching this and happy owning this for more than 6months now. Matipid, sobrang gaan, napaka dali i maniobra and comfortable. My wife even prefers to drive this versus our sedan. 😅😅 thanks for this review autodeal. I trusted your reviews and now enjoys driving both cars.",ok,auto,31,4.0,2.8557610233751882,21.73,0.88,54.86,MEDIUM
bef9c8fb-cab2-4e29-959c-919bf783e06c,Gusto ko talaga yung back ng brv. A small mpv for 7. I prefer this because of the size. Not too big just right for me lo,Honda BRV,Styling / Design; Comfort & Space,Exterior Design; Cabin Space,Positive,0.9,False,OK,True,Gusto ko talaga yung back ng brv. A small mpv for 7. I prefer this because of the size. Not too big just right for me lol.,ok,auto,7,0.0,1.5040773967762742,11.45,0.9,50.72,MEDIUM
4ccb7d03-882f-4c1d-9a1e-3d0b8be30a27,"""Perfectly in the middle"". 😊👍🏽 Mismo!
Not over garnished. The back is just perfect. Just like the way I love the hatch p",Honda BRV,Styling / Design; Styling / Design; Other,Exterior Design; Rear Design; General Impression,Positive,0.9,False,OK,True,"""Perfectly in the middle"". 😊👍🏽 Mismo!
Not over garnished. The back is just perfect. Just like the way I love the hatch part of my Jazz GE. 😊",ok,auto,9,0.0,1.3862943611198906,10.55,0.9,50.28,MEDIUM
ee9d4ef0-5aee-4f08-877c-d8bda009629c,"As an Asian kid,we have a Honda BRV too! It’s nice to ride and can fit me,my cousins,and my grandmas and grandpas! It’s ",Honda BRV,Comfort & Space; Comfort & Space; Other,Cabin Space; Ride Quality; General Impression,Positive,0.883,False,OK,True,"As an Asian kid,we have a Honda BRV too! It’s nice to ride and can fit me,my cousins,and my grandmas and grandpas! It’s a nice car,trust me!",ok,auto,7,0.0,1.2039728043259361,9.16,0.883,48.73,MEDIUM
399b53ab-41f0-42dc-897e-c04aa2956109,"Loving our V variant, this review helped us make that ""sensible choice""",Honda BRV,Value Perception; Other,Value for Money; General Impression,Positive,0.925,False,OK,True,"Loving our V variant, this review helped us make that ""sensible choice""",ok,auto,1,0.0,0.4054651081081644,3.09,0.925,47.8,MEDIUM
ed6f8db8-0979-44c4-aa55-d17ec90d56b0,"I just owned a Honda BRV. Though i got the S Variant, im more than happy with it. Im currently doing 13km per liter. Bet",Honda BRV,Value Perception; Powertrain / Performance; New Tech,Value for Money; Energy Consumption; Remote Start,Positive,0.917,False,OK,True,"I just owned a Honda BRV. Though i got the S Variant, im more than happy with it. Im currently doing 13km per liter. Better than my previous car 🤣 a Nissan Sentra i love the remote start feature",ok,auto,2,0.0,0.5108256237659907,3.89,0.917,47.8,MEDIUM
d7f26264-31b3-4e5b-9f48-771bb72e992b,I wish we had brv in the west. Looks better than the current CRV in my opinion,Honda BRV,Styling / Design,Exterior Design,Positive,0.9,False,OK,True,I wish we had brv in the west. Looks better than the current CRV in my opinion,ok,auto,1,0.0,0.6931471805599453,5.28,0.9,47.64,MEDIUM
6cdbc031-175b-4ff1-ab81-07ab066b76be,"How i wish, the outgoing 1.6L iDTEC diesel engine of CR-V should be an option for the BR-V. Even if it's spec out as a 2",Honda BRV,Powertrain / Performance; Value Perception,Engine Power; Price,Positive,0.875,False,OK,True,"How i wish, the outgoing 1.6L iDTEC diesel engine of CR-V should be an option for the BR-V. Even if it's spec out as a 2WD variant and with a price tag of 1.5million.. That is a VERY SENSIBLE OPTION, Sir Caco💪😎",ok,auto,3,0.0,0.9162907318741551,6.97,0.875,47.23,MEDIUM
