record_id,scraped_at,country,platform,platform_type,source_url,thread_id,post_id,parent_post_id,author_id,author_username,post_date,post_date_normalized,content_original,English Translation,car_brand,car_model,parameter,sentiment,has_media,media_urls,like_count,reply_count,share_count,view_count,is_thread_opener,star_rating,star_rating_max,star_rating_available,scraper_version,raw_html_hash,enriched_content,has_context,is_semantic_duplicate,duplicate_of_id,similarity_score,content_quality_flag,wow_signal_hits
e66498ea-eda5-4a5d-a208-c4c774b41ba6,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg,UgwKEZ5t0P-27Oi0YyV4AaABAg,,,@thanhtu129official,2 minggu yang lalu (diedit),,"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về tc😂",,VinFast,VinFast VF3,Value Perception,Negative,False,,1,7.0,0,0,False,,,False,youtube_vietnam_demo_v1,,"Vừa coi kênh a7 tv phân tích xong Vf5 tc2 bản cởi chuồng 400tr thì ông nào chọn vf3 thì đến nể, trừ ae thật sự dư giả về tc😂",False,False,,,KEEP,
c46f8464-052d-489e-87e2-13dc6c6f41ed,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpVoMdEtQ0,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpVoMdEtQ0,,,@bipham2696,2 minggu yang lalu,,Chuẩn luôn 😂😢😅 nhà có xe rồi mua thêm chiếc chở bồ nhí đi chơi giữa đường hết pin vào nhà nghĩ mà sạc thì đc 😅😅😅,,VinFast,VinFast VF3,Powertrain / Performance,Positive,False,,0,,0,0,False,,,False,youtube_vietnam_demo_v1,,Chuẩn luôn 😂😢😅 nhà có xe rồi mua thêm chiếc chở bồ nhí đi chơi giữa đường hết pin vào nhà nghĩ mà sạc thì đc 😅😅😅,False,False,,,KEEP,
1caec4a5-fd0e-4de2-be65-717209390adc,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpXN9-OF21,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpXN9-OF21,,,@XẾCỘNG,2 minggu yang lalu,,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",,VinFast,VinFast VF3,Powertrain / Performance,Negative,False,,1,,0,0,False,,,False,youtube_vietnam_demo_v1,,"Cởi chuồng thì dành cho anh em mua xe đầu thôi. Xe thứ 2,3 ngta lại k mặn mà vs con vf5 đó đâu",False,False,,,KEEP,
06c1eaaf-9aca-4582-8c85-e47a9ab63632,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpatXLXx7n,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpatXLXx7n,,,@amateurgamer1175,2 minggu yang lalu,,nguời ko dư giả thì ngta cũng chọn 400 hơn là 300 à mà ông nói vậy,,VinFast,VinFast VF3,Value Perception,Neutral,False,,0,,0,0,False,,,False,youtube_vietnam_demo_v1,,nguời ko dư giả thì ngta cũng chọn 400 hơn là 300 à mà ông nói vậy,False,False,,,KEEP,
00749b2b-da47-4059-a14f-3bad92e3f069,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpco9E877Z,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWpco9E877Z,,,@NhấtVũ-z7i,2 minggu yang lalu,,cách nhau cả 130 140 triệu đấykhông ít đâu ông ạ,,VinFast,VinFast VF3,Styling / Design,Neutral,False,,2,,0,0,False,,,False,youtube_vietnam_demo_v1,,cách nhau cả 130 140 triệu đấykhông ít đâu ông ạ,False,False,,,KEEP,
f233520a-5f6c-4079-8c1d-b8e6fdf55ad8,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWqFinjfvdA,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWqFinjfvdA,,,@bangsao5421,2 minggu yang lalu,,Bạn cmt mình bi ngu là dc. Mở tài khoản xem có bn tiền mà xạo lozz😅😅😅,,VinFast,VinFast VF3,Powertrain / Performance,Neutral,False,,0,,0,0,False,,,False,youtube_vietnam_demo_v1,,Bạn cmt mình bi ngu là dc. Mở tài khoản xem có bn tiền mà xạo lozz😅😅😅,False,False,,,KEEP,
d9c08eed-dd5e-453a-81e8-16f5d83621ec,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWqrfUVmpX-,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWqrfUVmpX-,,,@nuis3470,2 minggu yang lalu,,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,,VinFast,VinFast VF3,Powertrain / Performance,Negative,False,,0,,0,0,False,,,False,youtube_vietnam_demo_v1,,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,False,False,,,KEEP,
abfa1b1c-9593-448a-a062-cfc6df2430f7,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWtYcNAVuIW,UgwKEZ5t0P-27Oi0YyV4AaABAg.AWpV0PLnEqFAWtYcNAVuIW,,,@babaali9607,2 minggu yang lalu,,"Sớm
Muộn vf5 cũng
Có bản giá mềm. Lấh bớt khách của vf3. Vẫn còn nh ng mua vf3 vì chỉ thích xe nhỏ đi cá nhân luồn lách đi gần thì vẫn mua.",,VinFast,VinFast VF3,Value Perception,Neutral,False,,0,,0,0,False,,,False,youtube_vietnam_demo_v1,,"Sớm
Muộn vf5 cũng
Có bản giá mềm. Lấh bớt khách của vf3. Vẫn còn nh ng mua vf3 vì chỉ thích xe nhỏ đi cá nhân luồn lách đi gần thì vẫn mua.",False,False,,,KEEP,
07400822-032f-4ae5-a5a6-8a0cded9e658,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwRIfhkVBSZ1GcDxz14AaABAg,UgwRIfhkVBSZ1GcDxz14AaABAg,,,@kt0128,2 minggu yang lalu (diedit),,"xe này tính là 2 hàng hay 1 hàng ạ, nếu bé nhỏ 6 tháng muốn ngồi hàng ghế trước được không ạ?",,VinFast,VinFast VF3,Powertrain / Performance,Positive,False,,0,3.0,0,0,False,,,False,youtube_vietnam_demo_v1,,"xe này tính là 2 hàng hay 1 hàng ạ, nếu bé nhỏ 6 tháng muốn ngồi hàng ghế trước được không ạ?",False,False,,,KEEP,
06efe5fd-69e3-400b-b929-537413b78b07,04/06/2026 23:30,Vietnam,YouTube,video_comment,https://www.youtube.com/watch?v=xzVrqva0KOM,UgwRIfhkVBSZ1GcDxz14AaABAg.AWqycnfsz5SAWrDL-b5L-E,UgwRIfhkVBSZ1GcDxz14AaABAg.AWqycnfsz5SAWrDL-b5L-E,,,@XẾCỘNG,2 minggu yang lalu,,Sau 1/7 k đc b nhé,,VinFast,VinFast VF3,New Tech,Neutral,False,,1,,0,0,False,,,False,youtube_vietnam_demo_v1,,Sau 1/7 k đc b nhé,False,False,,,KEEP,
