record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source,like_count,reply_count,engagement_raw,engagement_score,sentiment_weight,wow_factor_score,wow_score_tier
2e7f5102-4db7-4355-9263-d2f992873e77,mua để được tiếng yêu nước,VinFast VF3,Brand Perception,Country of Origin Image,Positive,0.9,False,OK,True,Buy to be patriotic,ok,auto,0,1.0,1.0397207708399179,9.28,0.9,49.64,MEDIUM
a2d53772-a865-4d3d-9cb3-8e84816a43eb,toyota nên dạy khách nên lái xe thế nào để tránh đâm đụng vì xe của hãng toàn thùng tôn di động đụng là nghẻo luôn,VinFast VF3,Safety & ADAS,Body Structure,Positive,0.9,False,OK,True,Toyota should teach customers how to drive to avoid collisions because their cars are all portable metal boxes and crashing will cause them to crash.,ok,auto,1,0.0,0.6931471805599453,6.19,0.9,48.09,MEDIUM
fd534a85-a8a1-4529-9db1-a3f9a4b3c835,"Nhảm vậy bác, tôi đã đi VF3 nếu có lên đời mua xe khác tôi cũng sẽ mua xe VinFast đây nè.",VinFast VF3,Brand Perception,Brand Loyalty,Positive,0.9,False,OK,True,"That's nonsense, I went with VF3. If I were to buy another car in life, I would also buy a VinFast car.",ok,auto,1,0.0,0.6931471805599453,6.19,0.9,48.09,MEDIUM
78da1406-daee-4faa-a8e3-6c352c4783ef,Macaron 260 triệu có làm khó được VF3?,VinFast VF3,Value Perception,Competitor Comparison,Positive,0.8,False,OK,True,Will 260 million macarons make it difficult for VF3?,ok,auto,1,1.0,1.732867951399863,15.47,0.8,47.74,MEDIUM
18dec2e3-823c-4824-ad95-7bb04b4ba2eb,"vf3 đi đô thị ngon rồi , ko tốn xăng nuôi xe nhàn ko",VinFast VF3,Powertrain / Performance; Value Perception; Value Perception,Urban Driving; Fuel Cost; Maintenance Cost,Positive,0.867,False,OK,True,"Vf3 is good for urban travel, doesn't waste gas on the car",ok,auto,1,1.0,0.7192051811294522,6.42,0.867,46.56,MEDIUM
c8022d03-d197-4700-8345-1dfc545ee972,"Đúng rồi bác, đi phố con này cực tiện và tiết kiệm ạ!",VinFast VF3,Comfort & Space; Value Perception,City Driving; Energy Consumption,Positive,0.9,False,OK,True,"That's right, going to this street is very convenient and economical!",ok,auto,0,0.0,0.0,0.0,0.9,45.0,MEDIUM
d9c08eed-dd5e-453a-81e8-16f5d83621ec,Đã VF5 mà còn là bản cởi chuồng thì ko hiểu so với VF3 nnao luon ý=))) VF3 nó có tệp khách riêng bác ơi,VinFast VF3,Value Perception,Competitor Comparison,Positive,0.9,False,OK,True,"Even though it's VF5, it's still an unmodified version, so I don't understand how it compares to VF3. =))) VF3 has its own client file.",ok,auto,0,0.0,0.0,0.0,0.9,45.0,MEDIUM
a4bad41d-965a-4c09-afb1-060b107620b6,Mình làm nghề xe ở Mỹ.Mình không biết tại sao Vinfast không đem VF3 sang Mỹ nhất là Cali vì mẫu xe này sẽ phù hợp thị hi,VinFast VF3,Styling / Design; Value Perception; Brand Perception,Body Shape; Competitor Comparison; Brand Image,Positive,0.85,False,OK,True,"I work as a car owner in the US. I don't know why Vinfast doesn't bring the VF3 to the US, especially Cali because this model will suit the tastes of American people because they also like the car's styling. It's similar to an American Jeep.",ok,auto,0,1.0,0.43152310867767135,3.85,0.85,44.42,MEDIUM
6a5de4c9-6605-4931-89e2-2a5ed7164cd6,@HoSoDen-u6g toàn daihatsu nhái toy thôi,VinFast VF3,Brand Perception,Brand Image,Positive,0.8,False,OK,True,@HoSoDen-u6g are all fake daihatsu toys,ok,auto,0,0.0,0.0,0.0,0.8,40.0,MEDIUM
de1d8ed3-2947-4717-92a6-40e1ed6d6d2b,Đi 3 năm sướng bao lâu rồi,VinFast VF3,Comfort & Space,Ride Quality,Positive,0.7,False,OK,True,How long has it been since I've been gone for 3 years?,ok,auto,1,0.0,0.6931471805599453,6.19,0.7,38.09,LOW
