record_id,content_original,focus_model,category,parameter,sentiment,confidence,is_wow_factor,review_flag,is_substantial,content_english,translation_status,translation_source,like_count,reply_count,engagement_raw,engagement_score,sentiment_weight,wow_factor_score,wow_score_tier
d90ad65a-5b91-41e6-84ad-6d47ff571f0e,HRV jd terlihat sgt kuno jika disandingkan dgn atto3 ini,BYD Atto 3,Styling / Design,Exterior Design,Positive,0.95,False,OK,True,HRV looks really old when compared to this ATTO3,ok,auto,29,1.0,4.440918152502073,39.65,0.95,67.32,HIGH
b580cfdb-f8b0-4a45-85f6-d701c5df4227,"BYD Atto designnya emang ga striking tapi cantikkkk, dr semua angle enak diliatnya. Jujur setelah lihat langsung antara ",BYD Atto 3,Styling / Design; Value Perception,Exterior Design; Competitor Comparison,Positive,0.925,False,OK,True,"BYD Atto's design isn't striking but it's beautiful, it's nice to look at from all angles. Honestly, after seeing the Omode E5 vs Atto in person, I much prefer the Atto design.",ok,auto,31,5.0,4.6825048336495865,41.8,0.925,67.15,HIGH
e8a3d663-b3c4-4c23-8f97-ee82c0e039f3,"Bismillah... semoga bisa ganti mobil bensin saya, ke mobil BYD Atto 3... Aamiin Ya Robbal Aalamiin... cape beli bensin y",BYD Atto 3,Value Perception; Brand Perception,Fuel Cost Savings; Brand Desire,Positive,0.85,True,OK,True,Bismillah... I hope I can change my petrol car to a BYD Atto 3 car... Amen Ya Robbal Aalamiin... tired of buying petrol ya Allah SWT... petrol also has a lot of lead ya Rabb... come on let's buy a BYD Atto 3 electric car ya Allah...,ok,auto,37,2.0,4.010135236409619,35.8,0.85,60.4,MEDIUM
4ac24764-8ab9-4b1b-a263-4a88c2cbea05,BYD It is the best EV car in the world,BYD Atto 3,Brand Perception,Brand Image,Positive,0.9,True,OK,True,BYD It is the best EV car in the world,ok,auto,29,0.0,3.4011973816621555,30.37,0.9,60.19,MEDIUM
1e00de64-4f41-4655-abd5-f88f384cbb93,"Wah, waktu jln2 ke Singapore bnyak bgt mobil ini",BYD Atto 3,Brand Perception,Brand Popularity,Positive,0.8,False,OK,True,"Wow, when I travel to Singapore, there are lots of these cars",ok,auto,19,1.0,4.0354530443939085,36.03,0.8,58.02,MEDIUM
8b9584b7-11a4-4f38-abfe-2697ff766b8f,"dari china banyak orang belajar, dikibulin jepang itu sakitnya tuh disini. Ibarat telur, HPP 1000 dijual 3500. Bukannya ",BYD Atto 3,Brand Perception; Value Perception,Country of Origin Image; Competitor Comparison,Positive,0.75,False,OK,True,"Many people learn from China, they say that Japan is sick here. Like eggs, HPP 1000 is sold for 3500. It's not that it's expensive, because as long as you can buy it, whether it's expensive or not is relative.",ok,auto,22,4.0,4.1328250827901645,36.9,0.75,55.95,MEDIUM
a2305e6e-e662-456d-aba6-44faa13f39aa,Mobil yang sempat diketawain om Elon karena Warren Buffett mau nginvest akhirnya siap mengaspal di Indonesia.,BYD Atto 3,Brand Perception; Other,Brand Image; General Impression,Positive,0.85,False,OK,True,The car that Uncle Elon once laughed at because Warren Buffett wanted to invest is finally ready to hit the road in Indonesia.,ok,auto,10,1.0,2.3999571313903014,21.43,0.85,53.22,MEDIUM
2d82cca5-e90c-423b-923a-1d373debf313,BYD akan merajai mobil listrik di Indonesia. Bukan maen ini brand,BYD Atto 3,Brand Perception; Brand Perception,Brand Image; Brand Trust,Positive,0.85,True,OK,True,BYD will dominate electric cars in Indonesia. This is not a brand to play with,ok,auto,8,1.0,2.217635574596347,19.8,0.85,52.4,MEDIUM
6327e20d-737e-4be4-98a5-a839c047320d,"oli gardan sama transmisi manual umur nya lebih lama om, bisa 40-60rb km tergantung trip juga, semakin jauh trip om nya ",Toyota Avanza,Powertrain / Performance,Transmission,Positive,0.9,False,OK,True,"The axle oil and manual transmission last longer, uncle, it can be 40-60 thousand km depending on the trip, the longer the trip, my advice is to change it every 40 thousand km.",ok,auto,1,0.0,0.6931471805599453,6.19,0.9,48.09,MEDIUM
1ada3ebe-64b4-4f1d-961a-a4284455b35f,"Aku malah mikir soal design :
 Atto 3 =  7 (biasa aja,) 
Omoda E5 = 9
??????",Chery Omoda E5,Styling / Design; Styling / Design,Exterior Design; Exterior Design,Positive,0.925,False,OK,True,"I'm even thinking about design:
 Atto 3 = 7 (just normal,) 
E5 mode = 9
??????",ok,auto,1,0.0,0.4054651081081644,3.62,0.925,48.06,MEDIUM
